id,abstract,category
42704,"Many learning machines that have hierarchical structure or hidden variables are now being used in information science, artificial intelligence, and bioinformatics. However, several learning machines used in such fields are not regular but singular statistical models, hence their generalization performance is still left unknown. To overcome these problems, in the previous papers, we proved new equations in statistical learning, by which we can estimate the Bayes generalization loss from the Bayes training loss and the functional variance, on the condition that the true distribution is a singularity contained in a learning machine. In this paper, we prove that the same equations hold even if a true distribution is not contained in a parametric model. Also we prove that, the proposed equations in a regular case are asymptotically equivalent to the Takeuchi information criterion. Therefore, the proposed equations are always applicable without any condition on the unknown true distribution.",cs
33011,"As is well known, several Roman sources report on the existence of a town foundation ritual, inherited from the Etruscans, which allegedly included astronomical references. However, the possible existence of astronomical orientations in the layout of Roman towns has never been tackled in a systematic way. As a first step in this direction, the orientation of virtually all Roman towns in Italy (38 cities) is studied here. Non-random orientation patterns emerge from these data, aiming at further research in this field.",physics
75408,"Based on the principle of causality, I advance a new principle of variation and try to use it as the most general principle for research into laws of nature.",physics
30546,"Recent technological advances have greatly improved the performance and features of embedded systems. With the number of just mobile devices now reaching nearly equal to the population of earth, embedded systems have truly become ubiquitous. These trends, however, have also made the task of managing their power consumption extremely challenging. In recent years, several techniques have been proposed to address this issue. In this paper, we survey the techniques for managing power consumption of embedded systems. We discuss the need of power management and provide a classification of the techniques on several important parameters to highlight their similarities and differences. This paper is intended to help the researchers and application-developers in gaining insights into the working of power management techniques and designing even more efficient high-performance embedded systems of tomorrow.",cs
4635,"Digital libraries must reach out to users from all walks of life, serving information needs at all levels. To do this, they must attain high standards of usability over an extremely broad audience. This paper details the evolution of one important digital library component as it has grown in functionality and usefulness over several years of use by a live, unrestricted community. Central to its evolution have been user studies, analysis of use patterns, and formative usability evaluation. We extrapolate that all three components are necessary in the production of successful digital library systems.",cs
16540,"Principle objective of Image enhancement is to process an image so that result is more suitable than original image for specific application. Digital image enhancement techniques provide a multitude of choices for improving the visual quality of images. Appropriate choice of such techniques is greatly influenced by the imaging modality, task at hand and viewing conditions. This paper will provide an overview of underlying concepts, along with algorithms commonly used for image enhancement. The paper focuses on spatial domain techniques for image enhancement, with particular reference to point processing methods and histogram processing.",cs
17888,"A web service is modeled here as a finite state machine. A composition problem for web services is to decide if a given web service can be constructed from a given set of web services; where the construction is understood as a simulation of the specification by a fully asynchronous product of the given services. We show an EXPTIME-lower bound for this problem, thus matching the known upper bound. Our result also applies to richer models of web services, such as the Roman model.",cs
19792,"The dependence of macroscopic radiation pressure on the velocity of the object being pushed is commonly attributed to the Doppler effect. This need not be the case, and here we highlight velocity dependent radiation pressure terms that have their origins in the mixing of s and p polarizations brought about by the Lorentz transformation between the lab and the material rest frame, rather than in the corresponding transformation of frequency and wavevector. The theory we develop is relevant to the nano-optomechanics of moving bodies.",physics
18987,"We propose an accurate and efficient method to compute vibrational spectra of molecules, based on exact diagonalization of an algebraically calculated matrix based on powers of Morse coordinate. The present work focuses on the 1D potential of diatomic molecules: as typical examples, we apply this method to the standard Lennard-Jones oscillator, and to the ab initio potential of the H2 molecule. Global cm-1 accuracy is exhibited through the H2 spectrum, obtained through the diagonalization of a 30 x 30 matrix. This theory is at the root of a new method to obtain globally accurate vibrational spectral data in the context of the multi-dimensional potential of polyatomic molecules, at an affordable computational cost.",physics
41314,"Numerical calculations of light propagation in random media demand the multiply scattered Stokes intensities to be written in a common fixed reference. A particularly useful way to perform automatically these basis transformations is to write the scattered intensities in the Chandrasekhar-Sekera representation. This representation produces side effects so that numerical tests are necessary to deal with the limiting situations of the small-particle (Rayleigh) and forward/backward scattering. Here a new set of basis functions is presented to describe the scattering of light by spherical particles (Mie scattering) in the Chandrasekhar-Sekera representation. These basis functions can be implemented in a new algorithm to calculate the Mie scattering amplitudes, which leads straightforwardly to all the scattering quantities. In contrast to the traditional implementation, this set of basis functions implies to natural numerical convergence to the above mentioned limiting cases, which are thoroughly discussed.",physics
64609,We consider arrays of square coaxial apertures in a gold layer and study their diffractive behavior in the far infrared region. These structures exhibit a resonant transmission enhancement that is used to design tunable bandpass filters. We provide a study of their spectral features and show by a modal analysis that the resonance peak is due to the excitation of leaky modes of the open photonic structure. Fourier transform infrared (FTIR) spectrophotometry transmission measurements of samples deposited on Si substrate show good agreement with numerical results and demonstrate angular tolerance up to 30 degrees of the fabricated filters.,physics
47108,"Most of the current research in superconducting radio frequency (SRF) cavities is focused on ways to reduce the construction and operating cost of SRF based accelerators as well as on the development of new or improved cavity processing techniques. The increase in quality factors is the result of the reduction of the surface resistance of the materials. A recent test on a 1.5 GHz single cell cavity made from ingot niobium of medium purity and heat treated at 1400 C in a ultra-high vacuum induction furnace resulted in a residual resistance of about 1nanoohm and a quality factor at 2.0 K increasing with field up to 5x10^10 at a peak magnetic field of 90 mT. In this contribution, we present some results on the investigation of the origin of the extended Q0-increase, obtained by multiple HF rinses, oxypolishing and heat treatment of all Nb cavities.",physics
67728,"Recent advances in DNA sequencing technologies have put ubiquitous availability of fully sequenced human genomes within reach. It is no longer hard to imagine the day when everyone will have the means to obtain and store one's own DNA sequence. Widespread and affordable availability of fully sequenced genomes immediately opens up important opportunities in a number of health-related fields. In particular, common genomic applications and tests performed in vitro today will soon be conducted computationally, using digitized genomes. New applications will be developed as genome-enabled medicine becomes increasingly preventive and personalized. However, this progress also prompts significant privacy challenges associated with potential loss, theft, or misuse of genomic data. In this paper, we begin to address genomic privacy by focusing on three important applications: Paternity Tests, Personalized Medicine, and Genetic Compatibility Tests. After carefully analyzing these applications and their privacy requirements, we propose a set of efficient techniques based on private set operations. This allows us to implement in in silico some operations that are currently performed via in vitro methods, in a secure fashion. Experimental results demonstrate that proposed techniques are both feasible and practical today.",cs
57811,"In communication systems where users share common resources, users' selfish behavior usually results in suboptimal resource utilization. There have been extensive works that model communication systems with selfish users as one-shot games and propose incentive schemes to achieve Pareto optimal action profiles as non-cooperative equilibria. However, in many communication systems, due to strong negative externalities among users, the sets of feasible payoffs in one-shot games are nonconvex. Thus, it is possible to expand the set of feasible payoffs by having users choose convex combinations of different payoffs. In this paper, we propose a repeated game model generalized by intervention. First, we use repeated games to convexify the set of feasible payoffs in one-shot games. Second, we combine conventional repeated games with intervention, originally proposed for one-shot games, to achieve a larger set of equilibrium payoffs and loosen requirements for users' patience to achieve it. We study the problem of maximizing a welfare function defined on users' equilibrium payoffs, subject to minimum payoff guarantees. Given the optimal equilibrium payoff, we derive the minimum intervention capability required and design corresponding equilibrium strategies. The proposed generalized repeated game model applies to various communication systems, such as power control and flow control.",cs
69792,"The grand piano is one of the most important instruments in western music. Its functioning and details are investigated and understood to a reasonable level, however, differences between manufacturers exist which are hard to explain. To add a new piece of understanding, we decided to investigate the effect of ribs mounted on a soundboard. Apart from pianos, this is important to a wider class of instruments which radiate from a structured surface. From scattering theory, it is well-known that a regular array of scatterers yields a band structure. By a systematic study of the latter, the effect of the ribs on the radiated spectrum is demonstrated for a specially manufactured multichord mimicking topologically a piano soundboard. To distinguish between radiated sound and sound propagated inside the board we use piezopolymers, an innovative, non-invasive technique. As a result we find a dramatic change in the spectrum allowed to propagate in the soundboard which is consequently radiated. An explanation by a simple model of coupled oscillators is given with a very nice qualitative coincidence.",physics
72063,Groupoid actions on C*-bundles and inverse semigroup actions on C*-algebras are closely related when the groupoid is r-discrete.,math
32186,"Interactive querying of a database degrades the privacy level. In this paper we answer the fundamental question of characterizing the level of differential privacy degradation as a function of the number of adaptive interactions and the differential privacy levels maintained by the individual queries. Our solution is complete: the privacy degradation guarantee is true for every privacy mechanism and, further, we demonstrate a sequence of privacy mechanisms that do degrade in the characterized manner. The key innovation is the introduction of an operational interpretation (involving hypothesis testing) to differential privacy and the use of the corresponding data processing inequalities. Our result improves over the state of the art and has immediate applications to several problems studied in the literature.",cs
15127,"We present the relatively less known thermodynamic concept of exergy in the context of ecology and sustainability. To this end, we first very briefly outline thermodynamics as it arose historically via engineering studies. This enables us to define exergy as available energy. An example of applying the concept of exergy to a simple human process is next described. Then we present an exergy analysis of Earth as a flow system, also concurrently describing other necessary concepts. Finally, we briefly comment on the applicability of exergy analysis to ecology and sustainability. Keywords: exergy - energy - work - thermodynamics - heat transfer - flow processes",physics
11248,"A real finite-dimensional space with indefinite scalar product having v- negative squares and v+ positive ones is considered. The paper presents a classification of operators that are normal with respect to this product for the cases min{v-, v+} = 1, 2. The approach used here was developed in papers by Gohberg and Reichstein and by the authors, where a similar classification was obtained for complex spaces with v = min{v-,v+} = 1, 2, respectively.",math
10854,"Let $G=(V,E)$ be a finite, simple graph. We consider for each oriented graph $G_{\cal O}$ associated to an orientation ${\cal O}$ of the edges of $G$, the toric ideal $P_{G_{\cal O}}$. In this paper we study those graphs with the property that $P_{G_{\cal O}}$ is a binomial complete intersection, for all ${\cal O}$. These graphs are called $\text{CI}{\cal O}$ graphs. We prove that these graphs can be constructed recursively as clique-sums of cycles and/or complete graphs. We introduce the chorded-theta subgraphs and their transversal triangles. Also we establish that the $\text{CI}{\cal O}$ graphs are determined by the property that each chorded-theta has a transversal triangle. As a consequence, we obtain that the tournaments hold this property. Finally we explicitly give the minimal forbidden induced subgraphs that characterize these graphs, these families of graphs are: prisms, pyramids, thetas and a particular family of wheels that we call $\theta-$partial wheels.",math
